time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
11-22 12:58:42.553,YES,173652687465262,406,34624,850,310410,22,-101,-10,UNKNOWN,406.0,0,16,-109,-17,6,8,7
11-22 12:58:42.857,YES,173654714849943,406,34624,850,310410,20,-109,-15,UNKNOWN,406.0,0,14,-113,-18,6,4,3
11-22 12:58:45.125,YES,173656980776887,406,34624,850,310410,22,-105,-16,UNKNOWN,406.0,0,16,-110,-19,6,5,3
11-22 12:58:47.621,YES,173659480101824,406,34624,850,310410,22,-106,-15,UNKNOWN,406.0,0,15,-111,-19,7,5,4
11-22 12:58:50.118,YES,173661688506002,406,34624,850,310410,23,-104,-15,UNKNOWN,406.0,0,16,-110,-20,7,6,5
11-22 12:58:52.132,YES,173663983740866,406,34624,850,310410,23,-105,-16,UNKNOWN,406.0,0,17,-109,-20,6,4,4
11-22 12:58:54.568,YES,173665995429243,406,34624,850,310410,22,-106,-14,UNKNOWN,406.0,0,15,-113,-20,7,7,6
11-22 12:58:56.577,YES,173668435827507,406,34624,850,310410,20,-106,-12,UNKNOWN,406.0,0,13,-114,-17,7,8,5
11-22 12:58:58.639,YES,173670493497244,406,34624,850,310410,18,-107,-10,UNKNOWN,406.0,0,12,-117,-18,6,10,8
11-22 12:59:01.078,YES,173672683593972,406,34624,850,310410,20,-106,-11,UNKNOWN,406.0,0,12,-113,-15,8,7,4
11-22 12:59:03.081,YES,173674692861412,406,34624,850,310410,19,-107,-10,UNKNOWN,406.0,0,13,-114,-17,6,7,7
11-22 12:59:05.089,YES,173676947083616,406,34624,850,310410,21,-103,-10,UNKNOWN,406.0,0,14,-115,-15,7,12,5
11-22 12:59:07.130,YES,173678973129130,406,34624,850,310410,21,-102,-10,UNKNOWN,406.0,0,14,-115,-20,7,13,10
11-22 12:59:09.192,YES,173681041641159,406,34624,850,310410,21,-104,-11,UNKNOWN,406.0,0,14,-114,-19,7,10,8
11-22 12:59:11.628,YES,173683474043797,406,34624,850,310410,21,-103,-10,UNKNOWN,406.0,0,14,-114,-18,7,11,8
11-22 12:59:13.635,YES,173685493988113,406,34624,850,310410,21,-101,-10,UNKNOWN,406.0,0,14,-115,-18,7,14,8
