time,activity,status
11-12 13:22:47.770,UNKNOWN,ENTER
11-12 13:24:29.135,UNKNOWN,EXIT
11-12 13:24:29.147,WALKING,ENTER
11-12 13:24:48.480,WALKING,EXIT
11-12 13:24:48.500,STILL,ENTER
11-12 13:26:01.618,STILL,EXIT
11-12 13:26:01.630,WALKING,ENTER
11-12 13:30:33.446,WALKING,EXIT
11-12 13:30:33.455,STILL,ENTER
11-12 13:30:51.920,STILL,EXIT
11-12 13:30:51.931,WALKING,ENTER
11-12 13:32:42.049,WALKING,EXIT
11-12 13:32:42.069,STILL,ENTER
11-12 13:33:58.655,STILL,EXIT
11-12 13:33:58.666,UNKNOWN,ENTER
11-12 13:34:20.598,UNKNOWN,EXIT
11-12 13:34:20.608,WALKING,ENTER
11-12 13:35:14.364,WALKING,EXIT
11-12 13:35:14.378,STILL,ENTER
11-12 13:35:35.984,STILL,EXIT
11-12 13:35:35.998,UNKNOWN,ENTER
11-12 13:53:05.278,UNKNOWN,EXIT
11-12 13:53:05.287,WALKING,ENTER
11-12 13:53:44.992,WALKING,EXIT
11-12 13:53:45.005,STILL,ENTER
11-12 13:53:59.699,STILL,EXIT
11-12 13:53:59.711,WALKING,ENTER
11-12 13:54:40.091,WALKING,EXIT
11-12 13:54:40.106,STILL,ENTER
11-12 13:55:32.413,STILL,EXIT
11-12 13:55:32.429,WALKING,ENTER
11-12 13:56:38.420,WALKING,EXIT
11-12 13:56:38.439,STILL,ENTER
11-12 13:59:14.548,STILL,EXIT
11-12 13:59:14.565,WALKING,ENTER
11-12 13:59:51.170,WALKING,EXIT
11-12 13:59:51.181,STILL,ENTER
11-12 14:00:35.900,STILL,EXIT
11-12 14:00:35.917,WALKING,ENTER
11-12 14:02:18.879,WALKING,EXIT
11-12 14:02:18.914,STILL,ENTER
11-12 14:05:33.763,STILL,EXIT
11-12 14:05:33.793,WALKING,ENTER
11-12 14:06:05.014,WALKING,EXIT
11-12 14:06:05.060,STILL,ENTER
11-12 14:11:12.715,STILL,EXIT
11-12 14:11:12.735,WALKING,ENTER
11-12 14:11:45.721,WALKING,EXIT
11-12 14:11:45.736,STILL,ENTER
11-12 14:34:32.753,STILL,EXIT
11-12 14:34:32.762,WALKING,ENTER
11-12 14:36:16.090,WALKING,EXIT
11-12 14:36:16.101,STILL,ENTER
11-12 14:37:32.599,STILL,EXIT
11-12 14:37:32.636,WALKING,ENTER
11-12 14:38:10.832,WALKING,EXIT
11-12 14:38:10.842,STILL,ENTER
11-12 14:39:46.451,STILL,EXIT
11-12 14:39:46.460,WALKING,ENTER
11-12 14:41:37.487,WALKING,EXIT
11-12 14:41:37.509,STILL,ENTER
11-12 14:43:11.054,STILL,EXIT
11-12 14:43:11.068,WALKING,ENTER
11-12 14:43:57.516,WALKING,EXIT
11-12 14:43:57.543,STILL,ENTER
11-12 14:47:08.698,STILL,EXIT
11-12 14:47:08.722,WALKING,ENTER
11-12 14:47:45.356,WALKING,EXIT
11-12 14:47:45.379,STILL,ENTER
11-12 15:00:30.180,STILL,EXIT
11-12 15:00:30.232,WALKING,ENTER
11-12 15:00:46.749,WALKING,EXIT
11-12 15:00:46.771,STILL,ENTER
11-12 15:02:29.420,STILL,EXIT
11-12 15:02:29.453,WALKING,ENTER
11-12 15:05:16.391,WALKING,EXIT
11-12 15:05:16.419,STILL,ENTER
11-12 15:06:06.449,STILL,EXIT
11-12 15:06:06.480,WALKING,ENTER
11-12 15:09:23.479,WALKING,EXIT
11-12 15:09:23.494,STILL,ENTER
11-12 15:13:05.394,STILL,EXIT
11-12 15:13:05.416,WALKING,ENTER
11-12 15:15:59.322,WALKING,EXIT
11-12 15:15:59.335,STILL,ENTER
11-12 15:17:46.402,STILL,EXIT
11-12 15:17:46.417,WALKING,ENTER
11-12 15:18:49.795,WALKING,EXIT
11-12 15:18:49.830,STILL,ENTER
11-12 15:19:15.153,STILL,EXIT
11-12 15:19:15.165,WALKING,ENTER
11-12 15:19:41.373,WALKING,EXIT
11-12 15:19:41.405,STILL,ENTER
11-12 15:20:14.339,STILL,EXIT
11-12 15:20:14.355,UNKNOWN,ENTER
11-12 15:20:32.711,UNKNOWN,EXIT
11-12 15:20:32.728,WALKING,ENTER
11-12 15:22:30.138,WALKING,EXIT
11-12 15:22:30.164,STILL,ENTER
11-12 15:26:24.174,STILL,EXIT
11-12 15:26:24.192,WALKING,ENTER
11-12 15:26:53.792,WALKING,EXIT
11-12 15:26:53.810,STILL,ENTER
11-12 16:06:04.249,STILL,EXIT
11-12 16:06:04.264,WALKING,ENTER
11-12 16:06:49.467,WALKING,EXIT
11-12 16:06:49.488,STILL,ENTER
11-12 16:07:07.868,STILL,EXIT
11-12 16:07:07.880,WALKING,ENTER
11-12 16:11:43.834,WALKING,EXIT
11-12 16:11:43.849,STILL,ENTER
11-12 16:12:10.370,STILL,EXIT
11-12 16:12:10.393,WALKING,ENTER
11-12 16:12:59.089,WALKING,EXIT
11-12 16:12:59.131,STILL,ENTER
11-12 16:13:35.837,STILL,EXIT
11-12 16:13:35.850,WALKING,ENTER
11-12 16:14:04.013,WALKING,EXIT
11-12 16:14:04.020,STILL,ENTER
11-12 16:14:23.690,STILL,EXIT
11-12 16:14:23.704,WALKING,ENTER
11-12 16:15:22.711,WALKING,EXIT
11-12 16:15:22.728,STILL,ENTER
11-12 16:16:43.748,STILL,EXIT
11-12 16:16:43.769,WALKING,ENTER
11-12 16:17:22.919,WALKING,EXIT
11-12 16:17:22.937,UNKNOWN,ENTER
11-12 16:51:57.011,UNKNOWN,EXIT
11-12 16:51:57.025,WALKING,ENTER
11-12 16:54:23.123,WALKING,EXIT
11-12 16:54:23.132,STILL,ENTER
11-12 16:54:41.511,STILL,EXIT
11-12 16:54:41.530,WALKING,ENTER
11-12 16:55:36.507,WALKING,EXIT
11-12 16:55:36.515,UNKNOWN,ENTER
