time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,rssnr,cqi,ta
11-06 17:05:27.823,YES,963103842398,116,16185,2300,310260,19,-106,-10,2147483647,2147483647,2147483647
11-06 17:05:27.823,NO,963103842398,44,2147483647,2300,nullnull,15,-115,-20,2147483647,2147483647,2147483647
11-06 17:05:27.823,NO,963103842398,99,2147483647,2300,nullnull,15,-114,-15,2147483647,2147483647,2147483647
11-06 17:05:27.823,NO,963103842398,99,2147483647,675,nullnull,19,-112,-18,2147483647,2147483647,2147483647
11-06 17:05:27.823,NO,963103842398,116,2147483647,675,nullnull,14,-108,-12,2147483647,2147483647,2147483647
11-06 17:05:27.823,NO,963103842398,44,2147483647,675,nullnull,14,-115,-19,2147483647,2147483647,2147483647
11-06 17:05:27.823,NO,963103842398,241,2147483647,675,nullnull,14,-118,-20,2147483647,2147483647,2147483647
11-06 17:05:28.024,NO,963103842398,241,2147483647,675,nullnull,14,-118,-20,2147483647,2147483647,2147483647
11-06 17:05:28.087,YES,963103842398,116,16185,2300,310260,19,-106,-10,2147483647,2147483647,2147483647
11-06 17:05:28.087,NO,963103842398,44,2147483647,2300,nullnull,15,-115,-20,2147483647,2147483647,2147483647
11-06 17:05:28.087,NO,963103842398,99,2147483647,2300,nullnull,15,-114,-15,2147483647,2147483647,2147483647
11-06 17:05:28.087,NO,963103842398,99,2147483647,675,nullnull,19,-112,-18,2147483647,2147483647,2147483647
11-06 17:05:28.087,NO,963103842398,116,2147483647,675,nullnull,14,-108,-12,2147483647,2147483647,2147483647
11-06 17:05:28.087,NO,963103842398,44,2147483647,675,nullnull,14,-115,-19,2147483647,2147483647,2147483647
11-06 17:05:28.087,NO,963103842398,241,2147483647,675,nullnull,14,-118,-20,2147483647,2147483647,2147483647
11-06 17:05:28.121,YES,963103842398,116,16185,2300,310260,19,-106,-10,2147483647,2147483647,2147483647
11-06 17:05:28.121,NO,963103842398,44,2147483647,2300,nullnull,15,-115,-20,2147483647,2147483647,2147483647
11-06 17:05:28.121,NO,963103842398,99,2147483647,2300,nullnull,15,-114,-15,2147483647,2147483647,2147483647
11-06 17:05:28.121,NO,963103842398,99,2147483647,675,nullnull,19,-112,-18,2147483647,2147483647,2147483647
11-06 17:05:28.121,NO,963103842398,116,2147483647,675,nullnull,14,-108,-12,2147483647,2147483647,2147483647
11-06 17:05:28.121,NO,963103842398,44,2147483647,675,nullnull,14,-115,-19,2147483647,2147483647,2147483647
11-06 17:05:28.121,NO,963103842398,241,2147483647,675,nullnull,14,-118,-20,2147483647,2147483647,2147483647
11-06 17:05:28.386,YES,963103842398,116,16185,2300,310260,19,-106,-10,2147483647,2147483647,2147483647
11-06 17:05:28.386,NO,963103842398,44,2147483647,2300,nullnull,15,-115,-20,2147483647,2147483647,2147483647
11-06 17:05:28.386,NO,963103842398,99,2147483647,2300,nullnull,15,-114,-15,2147483647,2147483647,2147483647
11-06 17:05:28.386,NO,963103842398,99,2147483647,675,nullnull,19,-112,-18,2147483647,2147483647,2147483647
11-06 17:05:28.386,NO,963103842398,116,2147483647,675,nullnull,14,-108,-12,2147483647,2147483647,2147483647
11-06 17:05:28.386,NO,963103842398,44,2147483647,675,nullnull,14,-115,-19,2147483647,2147483647,2147483647
11-06 17:05:28.386,NO,963103842398,241,2147483647,675,nullnull,14,-118,-20,2147483647,2147483647,2147483647
11-06 17:05:28.398,YES,963103842398,116,16185,2300,310260,19,-106,-10,2147483647,2147483647,2147483647
11-06 17:05:28.398,NO,963103842398,44,2147483647,2300,nullnull,15,-115,-20,2147483647,2147483647,2147483647
11-06 17:05:28.398,NO,963103842398,99,2147483647,2300,nullnull,15,-114,-15,2147483647,2147483647,2147483647
11-06 17:05:28.398,NO,963103842398,99,2147483647,675,nullnull,19,-112,-18,2147483647,2147483647,2147483647
11-06 17:05:28.398,NO,963103842398,116,2147483647,675,nullnull,14,-108,-12,2147483647,2147483647,2147483647
11-06 17:05:28.398,NO,963103842398,44,2147483647,675,nullnull,14,-115,-19,2147483647,2147483647,2147483647
11-06 17:05:28.398,NO,963103842398,241,2147483647,675,nullnull,14,-118,-20,2147483647,2147483647,2147483647
