time, mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
11-07 16:52:51.012,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:51.270,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:51.294,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:51.325,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:51.616,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:51.620,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:51.814,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:52.096,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:52.101,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:52.603,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:52.616,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:52.807,22841626089569,116,16185,2300,310260,20,-103,-8,2147483647,2147483647,2147483647
11-07 16:52:53.123,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:53.134,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:53.616,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:53.628,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:53.808,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:54.109,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:54.142,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:54.609,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:54.621,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:54.808,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:55.105,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:55.128,22843741769624,116,16185,2300,310260,17,-108,-9,2147483647,2147483647,2147483647
11-07 16:52:55.621,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:55.629,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:55.805,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:56.114,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:56.141,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:56.605,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:56.612,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:56.809,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:57.112,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:57.140,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:57.602,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:57.609,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:57.807,22846239216799,116,16185,2300,310260,20,-103,-7,2147483647,2147483647,2147483647
11-07 16:52:58.111,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:58.143,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:58.609,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:58.634,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:58.807,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:59.109,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:59.146,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:59.603,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:59.610,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:52:59.807,22848459999104,116,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
11-07 16:53:00.119,22850739235008,116,16185,2300,310260,19,-105,-8,2147483647,2147483647,2147483647
11-07 16:53:00.145,22850739235008,116,16185,2300,310260,19,-105,-8,2147483647,2147483647,2147483647
11-07 16:53:00.604,22850739235008,116,16185,2300,310260,19,-105,-8,2147483647,2147483647,2147483647
11-07 16:53:00.610,22850739235008,116,16185,2300,310260,19,-105,-8,2147483647,2147483647,2147483647
11-07 16:53:00.809,22850739235008,116,16185,2300,310260,19,-105,-8,2147483647,2147483647,2147483647
11-07 16:53:01.115,22850739235008,116,16185,2300,310260,19,-105,-8,2147483647,2147483647,2147483647
11-07 16:53:01.133,22850739235008,116,16185,2300,310260,19,-105,-8,2147483647,2147483647,2147483647
