mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
38477116662405,370,16185,2300,310260,24,-100,-15,2147483647,2147483647,2147483647
38479219446365,370,16185,2300,310260,23,-102,-14,2147483647,2147483647,2147483647
38481673349578,370,16185,2300,310260,27,-97,-13,2147483647,2147483647,2147483647
38484213636706,370,16185,2300,310260,23,-101,-14,2147483647,2147483647,2147483647
38486673351014,370,16185,2300,310260,26,-97,-14,2147483647,2147483647,2147483647
38489214512100,370,16185,2300,310260,24,-99,-14,2147483647,2147483647,2147483647
38491670929897,370,16185,2300,310260,21,-102,-10,2147483647,2147483647,2147483647
38494214367182,370,16185,2300,310260,21,-104,-12,2147483647,2147483647,2147483647
38497217980137,370,16185,2300,310260,15,-122,-17,2147483647,2147483647,2147483647
38499667401839,370,16185,2300,310260,15,-121,-17,2147483647,2147483647,2147483647
38501729793191,370,16185,2300,310260,17,-118,-17,2147483647,2147483647,2147483647
38504232069950,370,16185,2300,310260,14,-122,-15,2147483647,2147483647,2147483647
38506669919412,370,16185,2300,310260,13,-125,-16,2147483647,2147483647,2147483647
38509221832375,370,16185,675,310260,12,-121,-13,2147483647,2147483647,2147483647
38511710737935,370,16185,675,310260,12,-120,-11,2147483647,2147483647,2147483647
38514230002092,370,16185,675,310260,13,-122,-15,2147483647,2147483647,2147483647
38516809799068,370,16185,675,310260,15,-117,-14,2147483647,2147483647,2147483647
38519234204674,370,16185,2300,310260,23,-100,-13,2147483647,2147483647,2147483647
38521696732992,370,16185,2300,310260,25,-99,-14,2147483647,2147483647,2147483647
38524234340901,370,16185,2300,310260,24,-98,-12,2147483647,2147483647,2147483647
38526922012263,370,16185,2300,310260,27,-95,-15,2147483647,2147483647,2147483647
38529234945306,370,16185,2300,310260,31,-83,-11,2147483647,2147483647,2147483647
38532000649488,370,16185,2300,310260,31,-84,-14,2147483647,2147483647,2147483647
38534116650375,370,16185,2300,310260,31,-81,-8,2147483647,2147483647,2147483647
38536240393347,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
38538395289239,370,16185,2300,310260,31,-73,-11,2147483647,2147483647,2147483647
38539585181233,370,16185,2300,310260,31,-69,-12,2147483647,2147483647,2147483647
38540518107471,370,16185,2300,310260,31,-78,-8,2147483647,2147483647,2147483647
38541601043986,370,16185,2300,310260,31,-77,-12,2147483647,2147483647,2147483647
38544510282452,370,16185,2300,310260,31,-77,-11,2147483647,2147483647,2147483647
38546791354763,370,16185,2300,310260,31,-80,-14,2147483647,2147483647,2147483647
38547540121661,370,16185,2300,310260,31,-78,-12,2147483647,2147483647,2147483647
38549907282782,370,16185,2300,310260,30,-81,-8,2147483647,2147483647,2147483647
38552090640395,370,16185,2300,310260,31,-86,-15,2147483647,2147483647,2147483647
38553376862867,370,16185,2300,310260,31,-85,-12,2147483647,2147483647,2147483647
38554323795409,370,16185,2300,310260,31,-84,-12,2147483647,2147483647,2147483647
38554693009404,370,16185,2300,310260,31,-85,-12,2147483647,2147483647,2147483647
38556571297352,370,16185,2300,310260,31,-79,-12,2147483647,2147483647,2147483647
38559532630616,370,16185,2300,310260,31,-80,-13,2147483647,2147483647,2147483647
38561949819659,370,16185,2300,310260,31,-81,-15,2147483647,2147483647,2147483647
38563995797935,370,16185,2300,310260,31,-79,-10,2147483647,2147483647,2147483647
38566062722985,370,16185,2300,310260,31,-79,-13,2147483647,2147483647,2147483647
38568536930783,370,16185,2300,310260,31,-79,-11,2147483647,2147483647,2147483647
38570946758680,370,16185,2300,310260,31,-79,-12,2147483647,2147483647,2147483647
38573538328053,370,16185,2300,310260,31,-80,-13,2147483647,2147483647,2147483647
38575565390598,370,16185,2300,310260,31,-78,-11,2147483647,2147483647,2147483647
38577985430162,370,16185,2300,310260,31,-81,-13,2147483647,2147483647,2147483647
38580563621773,370,16185,2300,310260,31,-80,-14,2147483647,2147483647,2147483647
38582983377587,370,16185,2300,310260,31,-79,-12,2147483647,2147483647,2147483647
38585541237165,370,16185,2300,310260,31,-77,-12,2147483647,2147483647,2147483647
38587944223186,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
38590546461622,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
38592945918528,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
38595550055454,370,16185,2300,310260,31,-79,-12,2147483647,2147483647,2147483647
38597939456473,370,16185,2300,310260,31,-79,-12,2147483647,2147483647,2147483647
38600552165327,370,16185,2300,310260,31,-80,-11,2147483647,2147483647,2147483647
38602689791634,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
38605581883953,370,16185,2300,310260,31,-84,-13,2147483647,2147483647,2147483647
38608255481615,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
38610554092990,370,16185,2300,310260,31,-81,-9,2147483647,2147483647,2147483647
38612946423541,370,16185,2300,310260,31,-81,-14,2147483647,2147483647,2147483647
38615578501980,370,16185,2300,310260,31,-81,-12,2147483647,2147483647,2147483647
38617997596179,370,16185,2300,310260,31,-81,-14,2147483647,2147483647,2147483647
38620577200916,370,16185,2300,310260,31,-82,-14,2147483647,2147483647,2147483647
38623311948844,370,16185,2300,310260,31,-83,-15,2147483647,2147483647,2147483647
38624176125493,370,16185,2300,310260,31,-81,-9,2147483647,2147483647,2147483647
38626664627824,370,16185,2300,310260,30,-81,-8,2147483647,2147483647,2147483647
38629677947239,370,16185,2300,310260,30,-82,-8,2147483647,2147483647,2147483647
38631627767173,370,16185,2300,310260,31,-79,-14,2147483647,2147483647,2147483647
38631937430849,370,16185,2300,310260,29,-86,-11,2147483647,2147483647,2147483647
38633687442013,370,16185,2300,310260,31,-84,-13,2147483647,2147483647,2147483647
38636018625579,370,16185,2300,310260,31,-83,-13,2147483647,2147483647,2147483647
38639144193963,370,16185,2300,310260,31,-84,-12,2147483647,2147483647,2147483647
38639648536149,370,16185,2300,310260,31,-84,-11,2147483647,2147483647,2147483647
38641683407966,370,16185,2300,310260,30,-88,-15,2147483647,2147483647,2147483647
38644371761151,370,16185,2300,310260,30,-86,-13,2147483647,2147483647,2147483647
38646310809521,370,16185,2300,310260,31,-82,-15,2147483647,2147483647,2147483647
38647207010287,370,16185,2300,310260,31,-80,-8,2147483647,2147483647,2147483647
38649791448982,370,16185,2300,310260,30,-83,-8,2147483647,2147483647,2147483647
38649808857421,370,16185,2300,310260,30,-83,-8,2147483647,2147483647,2147483647
38651774642773,370,16185,2300,310260,31,-90,-15,2147483647,2147483647,2147483647
38654852465215,370,16185,2300,310260,30,-87,-11,2147483647,2147483647,2147483647
38656789072856,432,16185,2300,310260,28,-90,-11,2147483647,2147483647,2147483647
38657156247997,434,16185,2300,310260,30,-86,-12,2147483647,2147483647,2147483647
38658942503123,434,16185,2300,310260,30,-86,-12,2147483647,2147483647,2147483647
38659303666544,434,16185,2300,310260,31,-86,-17,2147483647,2147483647,2147483647
38660093149956,434,16185,2300,310260,31,-80,-9,2147483647,2147483647,2147483647
38663229133498,434,16185,2300,310260,31,-88,-18,2147483647,2147483647,2147483647
38664024902900,44,16185,2300,310260,31,-94,-20,2147483647,2147483647,2147483647
38665303714642,434,16185,2300,310260,31,-93,-20,2147483647,2147483647,2147483647
38666580100186,44,16185,2300,310260,31,-84,-11,2147483647,2147483647,2147483647
38666951007202,44,16185,2300,310260,31,-82,-16,2147483647,2147483647,2147483647
38668763129518,44,16185,2300,310260,31,-82,-17,2147483647,2147483647,2147483647
38669134075284,44,16185,2300,310260,31,-80,-9,2147483647,2147483647,2147483647
38670877827124,44,16185,2300,310260,31,-84,-11,2147483647,2147483647,2147483647
38671748363617,44,16185,2300,310260,29,-83,-8,2147483647,2147483647,2147483647
38672783812991,44,16185,2300,310260,28,-94,-12,2147483647,2147483647,2147483647
38673561238017,44,16185,2300,310260,29,-92,-15,2147483647,2147483647,2147483647
38676210964479,44,16185,2300,310260,25,-100,-15,2147483647,2147483647,2147483647
38677024596383,44,16185,2300,310260,22,-106,-15,2147483647,2147483647,2147483647
38678225488846,44,16185,2300,310260,21,-105,-14,2147483647,2147483647,2147483647
38678588440445,46,16185,675,310260,20,-109,-16,2147483647,2147483647,2147483647
38680363018955,46,16185,675,310260,22,-110,-20,2147483647,2147483647,2147483647
38680370836716,46,16185,675,310260,22,-110,-20,2147483647,2147483647,2147483647
38683397499517,46,16185,675,310260,20,-110,-17,2147483647,2147483647,2147483647
38685455679202,46,16185,675,310260,20,-110,-17,2147483647,2147483647,2147483647
38687301685844,46,16185,675,310260,21,-110,-18,2147483647,2147483647,2147483647
38689762300204,46,16185,675,310260,21,-110,-18,2147483647,2147483647,2147483647
38691175063990,46,16185,2300,310260,22,-107,-17,2147483647,2147483647,2147483647
38691631502317,46,16185,2300,310260,22,-105,-16,2147483647,2147483647,2147483647
38694243903306,46,16185,2300,310260,22,-107,-16,2147483647,2147483647,2147483647
38696410386283,46,16185,2300,310260,21,-106,-15,2147483647,2147483647,2147483647
38697580881972,46,16185,2300,310260,21,-105,-14,2147483647,2147483647,2147483647
38697936772476,46,16185,2300,310260,22,-106,-15,2147483647,2147483647,2147483647
38698692983229,46,16185,2300,310260,22,-106,-16,2147483647,2147483647,2147483647
38701282024268,46,16185,2300,310260,22,-107,-16,2147483647,2147483647,2147483647
38702659994613,46,16185,2300,310260,23,-104,-14,2147483647,2147483647,2147483647
38703026931056,46,16185,2300,310260,22,-109,-16,2147483647,2147483647,2147483647
38703941280106,473,16185,2300,310260,30,-79,-6,2147483647,2147483647,2147483647
38705594590843,473,16185,2300,310260,26,-90,-8,2147483647,2147483647,2147483647
38706993284368,495,16185,2300,310260,31,-58,-6,2147483647,2147483647,2147483647
38709078870357,495,16185,2300,310260,31,-62,-6,2147483647,2147483647,2147483647
38711193555464,495,16185,2300,310260,31,-67,-6,2147483647,2147483647,2147483647
38712037437475,495,16185,2300,310260,31,-70,-6,2147483647,2147483647,2147483647
38713327101978,496,16185,2300,310260,31,-71,-6,2147483647,2147483647,2147483647
38714130041017,496,16185,2300,310260,25,-90,-6,2147483647,2147483647,2147483647
38716176507783,496,16185,2300,310260,24,-93,-6,2147483647,2147483647,2147483647
38717480793382,496,16185,2300,310260,26,-92,-11,2147483647,2147483647,2147483647
38720475190919,42,16185,2300,310260,30,-84,-9,2147483647,2147483647,2147483647
38721693402343,422,16185,2300,310260,31,-75,-7,2147483647,2147483647,2147483647
38722890632723,109,16185,675,310260,28,-89,-10,2147483647,2147483647,2147483647
38723235744007,109,16185,675,310260,28,-90,-11,2147483647,2147483647,2147483647
38724549176429,109,16185,675,310260,26,-94,-13,2147483647,2147483647,2147483647
38726144895286,109,16185,675,310260,26,-92,-10,2147483647,2147483647,2147483647
38726599108977,109,16185,675,310260,26,-92,-12,2147483647,2147483647,2147483647
38729156682097,109,16185,675,310260,26,-92,-11,2147483647,2147483647,2147483647
38730096459534,109,16185,675,310260,27,-92,-11,2147483647,2147483647,2147483647
