mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
50772108166697,369,16185,2300,310260,24,-108,-20,2147483647,2147483647,2147483647
50774347934993,369,16185,2300,310260,22,-113,-20,2147483647,2147483647,2147483647
50776890301132,370,16185,675,310260,22,-100,-11,2147483647,2147483647,2147483647
50779159355472,328,16185,2300,310260,24,-104,-17,2147483647,2147483647,2147483647
50781240104117,328,16185,2300,310260,26,-101,-18,2147483647,2147483647,2147483647
50783357904693,328,16185,2300,310260,27,-101,-18,2147483647,2147483647,2147483647
50785860682494,328,16185,2300,310260,27,-100,-20,2147483647,2147483647,2147483647
50788367799046,328,16185,2300,310260,26,-103,-20,2147483647,2147483647,2147483647
50790382321070,328,16185,2300,310260,27,-103,-20,2147483647,2147483647,2147483647
50792910093301,328,16185,2300,310260,27,-101,-20,2147483647,2147483647,2147483647
50795077197423,370,16185,2300,310260,24,-98,-11,2147483647,2147483647,2147483647
50796578392989,370,16185,2300,310260,23,-103,-13,2147483647,2147483647,2147483647
50798740113569,370,16185,2300,310260,22,-106,-15,2147483647,2147483647,2147483647
50799591311674,370,16185,2300,310260,22,-105,-15,2147483647,2147483647,2147483647
50802148108231,370,16185,2300,310260,22,-104,-14,2147483647,2147483647,2147483647
50802663471095,370,16185,2300,310260,26,-97,-14,2147483647,2147483647,2147483647
50804913785330,370,16185,2300,310260,28,-95,-16,2147483647,2147483647,2147483647
50806531265230,370,16185,2300,310260,27,-97,-14,2147483647,2147483647,2147483647
50807172514825,370,16185,2300,310260,24,-98,-13,2147483647,2147483647,2147483647
50807663661801,370,16185,2300,310260,26,-98,-15,2147483647,2147483647,2147483647
50808448894536,370,16185,2300,310260,26,-97,-14,2147483647,2147483647,2147483647
50808727928053,370,16185,2300,310260,26,-99,-16,2147483647,2147483647,2147483647
50809544545635,370,16185,2300,310260,26,-98,-15,2147483647,2147483647,2147483647
50811001790780,370,16185,2300,310260,26,-98,-16,2147483647,2147483647,2147483647
50811622257560,370,16185,2300,310260,24,-101,-12,2147483647,2147483647,2147483647
50813784859755,370,16185,2300,310260,23,-99,-10,2147483647,2147483647,2147483647
50813804382830,370,16185,2300,310260,23,-99,-10,2147483647,2147483647,2147483647
50816328863498,370,16185,2300,310260,25,-99,-14,2147483647,2147483647,2147483647
50817473204029,370,16185,2300,310260,24,-100,-14,2147483647,2147483647,2147483647
50818451010584,370,16185,2300,310260,26,-97,-13,2147483647,2147483647,2147483647
50821066485324,370,16185,2300,310260,21,-105,-13,2147483647,2147483647,2147483647
50821690068720,369,16185,2300,310260,13,-122,-14,2147483647,2147483647,2147483647
50822039085056,369,16185,2300,310260,12,-130,-20,2147483647,2147483647,2147483647
50822747920960,47,65535,850,null000,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647}]

50823205993298,432,16185,5035,310260,19,-107,-17,2147483647,2147483647,2147483647
50823596120055,370,16185,2300,310260,23,-102,-14,2147483647,2147483647,2147483647
50824484700352,370,16185,2300,310260,27,-92,-13,2147483647,2147483647,2147483647
50824838936950,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
50825370935076,370,16185,2300,310260,31,-80,-15,2147483647,2147483647,2147483647
50827420308770,370,16185,2300,310260,31,-83,-13,2147483647,2147483647,2147483647
50828415414494,370,16185,2300,310260,31,-83,-12,2147483647,2147483647,2147483647
50830952283965,370,16185,2300,310260,31,-80,-14,2147483647,2147483647,2147483647
50833582196779,370,16185,2300,310260,31,-82,-13,2147483647,2147483647,2147483647
50835767155070,370,16185,2300,310260,31,-80,-13,2147483647,2147483647,2147483647
50836147668858,370,16185,2300,310260,31,-81,-14,2147483647,2147483647,2147483647
50836800097933,370,16185,2300,310260,31,-82,-12,2147483647,2147483647,2147483647
50838023296597,370,16185,2300,310260,31,-82,-16,2147483647,2147483647,2147483647
50838369451215,370,16185,2300,310260,31,-81,-11,2147483647,2147483647,2147483647
50839236925624,370,16185,2300,310260,31,-85,-16,2147483647,2147483647,2147483647
50839245631458,370,16185,2300,310260,31,-85,-16,2147483647,2147483647,2147483647
50841325296353,370,16185,2300,310260,31,-77,-12,2147483647,2147483647,2147483647
50842237977590,370,16185,2300,310260,31,-74,-10,2147483647,2147483647,2147483647
50842630013931,370,16185,2300,310260,31,-78,-13,2147483647,2147483647,2147483647
50843406588383,370,16185,2300,310260,31,-79,-13,2147483647,2147483647,2147483647
